"Result","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","density","viscosity","thermal_expansivity","melt_density","permeability","melt_viscosity","compaction_viscosity","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0010001,0,-0.0006627,0,2.4082e-16,-0.00063114,0,1.1326e+07,0.004467,1.1326e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0018e-18,100,9.9975e+19,1,22.4,0,22.4,0
0.0010001,0,-0.0006627,0,-7.837e-15,-0.00063114,0,1.1302e+07,0.0031496,1.1302e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0019e-18,100,9.9975e+19,1,23.2,0,23.2,0
0.0010001,0,-0.0006627,0,-5.3385e-15,-0.00063114,0,1.1278e+07,0.0021432,1.1278e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0019e-18,100,9.9975e+19,1,24,0,24,0
0.0010001,0,-0.0006627,0,6.8531e-15,-0.00063114,0,1.1254e+07,0.0013743,1.1254e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.002e-18,100,9.9975e+19,1,24.8,0,24.8,0
0.0010001,0,-0.0006627,0,1.0669e-14,-0.00063114,0,1.123e+07,0.00078119,1.123e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.002e-18,100,9.9975e+19,1,25.6,0,25.6,0
0.0010001,0,-0.0006627,0,2.4506e-15,-0.00063114,0,1.1206e+07,0.0003641,1.1206e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.002e-18,100,9.9975e+19,1,26.4,0,26.4,0
0.0010001,0,-0.0006627,0,-9.8654e-15,-0.00063114,0,1.1182e+07,5.2773e-05,1.1182e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0021e-18,100,9.9975e+19,1,27.2,0,27.2,0
0.0010001,0,-0.0006627,0,-4.6237e-15,-0.00063114,0,1.1158e+07,-0.00016007,1.1158e+07,0,0.00025003,3000,9.9975e+19,0,2500,5.0021e-18,100,9.9975e+19,1,28,0,28,0
0.0010001,0,-0.0006627,0,6.1901e-16,-0.00063114,0,1.1134e+07,-0.0002973,1.1134e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0021e-18,100,9.9975e+19,1,28.8,0,28.8,0
0.0010001,0,-0.0006627,0,-6.2372e-16,-0.00063114,0,1.111e+07,-0.00035014,1.111e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0022e-18,100,9.9975e+19,1,29.6,0,29.6,0
0.0010001,0,-0.0006627,0,9.8779e-17,-0.00063114,0,1.1086e+07,-0.00036548,1.1086e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0022e-18,100,9.9975e+19,1,30.4,0,30.4,0
0.0010001,0,-0.0006627,0,5.3623e-16,-0.00063114,0,1.1062e+07,-0.00032654,1.1062e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0022e-18,100,9.9975e+19,1,31.2,0,31.2,0
0.0010002,0,-0.0006627,0,-1.4775e-14,-0.00063114,0,1.1038e+07,-0.00025423,1.1038e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0023e-18,100,9.9975e+19,1,32,0,32,0
0.0010002,0,-0.0006627,0,-1.891e-14,-0.00063114,0,1.1014e+07,-0.0001621,1.1014e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0023e-18,100,9.9975e+19,1,32.8,0,32.8,0
0.0010002,0,-0.0006627,0,-1.1522e-14,-0.00063114,0,1.099e+07,-4.5417e-05,1.099e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0023e-18,100,9.9975e+19,1,33.6,0,33.6,0
0.0010002,0,-0.0006627,0,6.943e-16,-0.00063114,0,1.0966e+07,0.00010015,1.0966e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0023e-18,100,9.9975e+19,1,34.4,0,34.4,0
0.0010002,0,-0.0006627,0,6.4894e-15,-0.00063114,0,1.0942e+07,0.00025285,1.0942e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0024e-18,100,9.9975e+19,1,35.2,0,35.2,0
0.0010002,0,-0.0006627,0,2.8129e-15,-0.00063114,0,1.0918e+07,0.00043477,1.0918e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0024e-18,100,9.9975e+19,1,36,0,36,0
0.0010002,0,-0.0006627,0,-4.9071e-15,-0.00063114,0,1.0894e+07,0.00061004,1.0894e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0024e-18,100,9.9975e+19,1,36.8,0,36.8,0
0.0010002,0,-0.0006627,0,-4.3455e-15,-0.00063114,0,1.087e+07,0.00081068,1.087e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0024e-18,100,9.9975e+19,1,37.6,0,37.6,0
0.0010002,0,-0.0006627,0,-1.1092e-15,-0.00063114,0,1.0846e+07,0.0010062,1.0846e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0025e-18,100,9.9975e+19,1,38.4,0,38.4,0
0.0010002,0,-0.0006627,0,-1.017e-15,-0.00063114,0,1.0822e+07,0.001212,1.0822e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0025e-18,100,9.9975e+19,1,39.2,0,39.2,0
0.0010002,0,-0.0006627,0,-4.4217e-15,-0.00063114,0,1.0798e+07,0.0014181,1.0798e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0025e-18,100,9.9975e+19,1,40,0,40,0
0.0010002,0,-0.0006627,0,-7.7334e-16,-0.00063114,0,1.0774e+07,0.0016272,1.0774e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0025e-18,100,9.9975e+19,1,40.8,0,40.8,0
0.0010002,0,-0.0006627,0,1.5267e-14,-0.00063114,0,1.075e+07,0.0018384,1.075e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0026e-18,100,9.9975e+19,1,41.6,0,41.6,0
0.0010002,0,-0.0006627,0,2.3236e-14,-0.00063114,0,1.0726e+07,0.0020464,1.0726e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0026e-18,100,9.9975e+19,1,42.4,0,42.4,0
0.0010002,0,-0.0006627,0,1.5163e-14,-0.00063114,0,1.0702e+07,0.0022654,1.0702e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0026e-18,100,9.9975e+19,1,43.2,0,43.2,0
0.0010002,0,-0.0006627,0,-2.2909e-15,-0.00063114,0,1.0678e+07,0.0024823,1.0678e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0026e-18,100,9.9975e+19,1,44,0,44,0
0.0010002,0,-0.0006627,0,-1.2775e-14,-0.00063114,0,1.0654e+07,0.0027209,1.0654e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0027e-18,100,9.9975e+19,1,44.8,0,44.8,0
0.0010002,0,-0.0006627,0,-7.3411e-15,-0.00063114,0,1.063e+07,0.0029757,1.063e+07,0,0.00025004,3000,9.9975e+19,0,2500,5.0027e-18,100,9.9975e+19,1,45.6,0,45.6,0
0.0010002,0,-0.0006627,0,4.4971e-15,-0.00063114,0,1.0606e+07,0.0032323,1.0606e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0027e-18,100,9.9975e+19,1,46.4,0,46.4,0
0.0010002,0,-0.0006627,0,1.0101e-14,-0.00063114,0,1.0582e+07,0.0035155,1.0582e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0027e-18,100,9.9975e+19,1,47.2,0,47.2,0
0.0010002,0,-0.0006627,0,5.612e-15,-0.00063114,0,1.0558e+07,0.0038232,1.0558e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0027e-18,100,9.9975e+19,1,48,0,48,0
0.0010002,0,-0.0006627,0,5.3373e-15,-0.00063114,0,1.0534e+07,0.0041422,1.0534e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0028e-18,100,9.9975e+19,1,48.8,0,48.8,0
0.0010002,0,-0.0006627,0,3.3766e-15,-0.00063114,0,1.051e+07,0.0045353,1.051e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0028e-18,100,9.9975e+19,1,49.6,0,49.6,0
0.0010002,0,-0.0006627,0,-3.2317e-15,-0.00063114,0,1.0486e+07,0.0049794,1.0486e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0028e-18,100,9.9975e+19,1,50.4,0,50.4,0
0.0010002,0,-0.0006627,0,-3.3437e-15,-0.00063114,0,1.0462e+07,0.0054937,1.0462e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0028e-18,100,9.9975e+19,1,51.2,0,51.2,0
0.0010002,0,-0.0006627,0,5.0428e-15,-0.00063114,0,1.0438e+07,0.0060913,1.0438e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0028e-18,100,9.9975e+19,1,52,0,52,0
0.0010002,0,-0.0006627,0,3.4961e-15,-0.00063113,0,1.0414e+07,0.0067967,1.0414e+07,0,0.00025005,3000,9.9975e+19,0,2500,5.0029e-18,100,9.9975e+19,1,52.8,0,52.8,0
