"Result","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","density","viscosity","thermal_expansivity","melt_density","permeability","melt_viscosity","compaction_viscosity","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.001,0,-0.00033135,0,1.0345e-15,-0.00031558,0,1.1997e+07,1.2666,1.1997e+07,0,0.0005,3000,9.995e+19,0,2500,5e-18,100,9.995e+19,1,0,0,0,0
0.001,0,-0.00033135,0,2.2995e-16,-0.00031558,0,1.1973e+07,1.0223,1.1973e+07,0,0.0005,3000,9.995e+19,0,2500,5.0001e-18,100,9.995e+19,1,0.8,0,0.8,0
0.001,0,-0.00033135,0,1.6788e-16,-0.00031558,0,1.1949e+07,0.82344,1.1949e+07,0,0.00050001,3000,9.995e+19,0,2500,5.0002e-18,100,9.995e+19,1,1.6,0,1.6,0
0.001,0,-0.00033135,0,-1.707e-16,-0.00031558,0,1.1925e+07,0.66171,1.1925e+07,0,0.00050001,3000,9.995e+19,0,2500,5.0003e-18,100,9.995e+19,1,2.4,0,2.4,0
0.001,0,-0.00033135,0,3.527e-17,-0.00031558,0,1.1901e+07,0.53229,1.1901e+07,0,0.00050001,3000,9.995e+19,0,2500,5.0004e-18,100,9.995e+19,1,3.2,0,3.2,0
0.001,0,-0.00033135,0,4.491e-16,-0.00031558,0,1.1877e+07,0.42925,1.1877e+07,0,0.00050001,3000,9.995e+19,0,2500,5.0004e-18,100,9.995e+19,1,4,0,4,0
0.001,0,-0.00033135,0,2.6617e-16,-0.00031558,0,1.1853e+07,0.34541,1.1853e+07,0,0.00050002,3000,9.995e+19,0,2500,5.0005e-18,100,9.995e+19,1,4.8,0,4.8,0
0.001,0,-0.00033135,0,1.8341e-16,-0.00031558,0,1.1829e+07,0.27728,1.1829e+07,0,0.00050002,3000,9.995e+19,0,2500,5.0006e-18,100,9.995e+19,1,5.6,0,5.6,0
0.001,0,-0.00033135,0,2.2103e-16,-0.00031558,0,1.1805e+07,0.2236,1.1805e+07,0,0.00050002,3000,9.995e+19,0,2500,5.0006e-18,100,9.995e+19,1,6.4,0,6.4,0
0.001,0,-0.00033135,0,-9.5937e-17,-0.00031558,0,1.1781e+07,0.18015,1.1781e+07,0,0.00050002,3000,9.995e+19,0,2500,5.0007e-18,100,9.995e+19,1,7.2,0,7.2,0
0.0010001,0,-0.00033135,0,-1.4108e-16,-0.00031558,0,1.1757e+07,0.14482,1.1757e+07,0,0.00050003,3000,9.995e+19,0,2500,5.0008e-18,100,9.995e+19,1,8,0,8,0
0.0010001,0,-0.00033135,0,-3.8893e-16,-0.00031558,0,1.1733e+07,0.1164,1.1733e+07,0,0.00050003,3000,9.995e+19,0,2500,5.0008e-18,100,9.995e+19,1,8.8,0,8.8,0
0.0010001,0,-0.00033135,0,-3.7858e-16,-0.00031558,0,1.1709e+07,0.093894,1.1709e+07,0,0.00050003,3000,9.995e+19,0,2500,5.0009e-18,100,9.995e+19,1,9.6,0,9.6,0
0.0010001,0,-0.00033135,0,-2.0552e-16,-0.00031558,0,1.1685e+07,0.075577,1.1685e+07,0,0.00050003,3000,9.995e+19,0,2500,5.0009e-18,100,9.995e+19,1,10.4,0,10.4,0
0.0010001,0,-0.00033135,0,6.5371e-17,-0.00031558,0,1.1661e+07,0.060692,1.1661e+07,0,0.00050003,3000,9.995e+19,0,2500,5.001e-18,100,9.995e+19,1,11.2,0,11.2,0
0.0010001,0,-0.00033135,0,2.2104e-16,-0.00031558,0,1.1637e+07,0.0489,1.1637e+07,0,0.00050003,3000,9.995e+19,0,2500,5.001e-18,100,9.995e+19,1,12,0,12,0
0.0010001,0,-0.00033135,0,3.0194e-16,-0.00031558,0,1.1613e+07,0.03941,1.1613e+07,0,0.00050004,3000,9.995e+19,0,2500,5.0011e-18,100,9.995e+19,1,12.8,0,12.8,0
0.0010001,0,-0.00033135,0,3.4615e-16,-0.00031558,0,1.1589e+07,0.031691,1.1589e+07,0,0.00050004,3000,9.995e+19,0,2500,5.0012e-18,100,9.995e+19,1,13.6,0,13.6,0
0.0010001,0,-0.00033135,0,1.425e-16,-0.00031557,0,1.1565e+07,0.025454,1.1565e+07,0,0.00050004,3000,9.995e+19,0,2500,5.0012e-18,100,9.995e+19,1,14.4,0,14.4,0
0.0010001,0,-0.00033135,0,-2.2998e-16,-0.00031557,0,1.1541e+07,0.020537,1.1541e+07,0,0.00050004,3000,9.995e+19,0,2500,5.0012e-18,100,9.995e+19,1,15.2,0,15.2,0
0.0010001,0,-0.00033135,0,-3.739e-16,-0.00031557,0,1.1517e+07,0.016536,1.1517e+07,0,0.00050004,3000,9.995e+19,0,2500,5.0013e-18,100,9.995e+19,1,16,0,16,0
0.0010001,0,-0.00033135,0,-8.7009e-17,-0.00031557,0,1.1493e+07,0.013282,1.1493e+07,0,0.00050004,3000,9.995e+19,0,2500,5.0013e-18,100,9.995e+19,1,16.8,0,16.8,0
0.0010001,0,-0.00033135,0,-2.9865e-16,-0.00031557,0,1.1469e+07,0.010689,1.1469e+07,0,0.00050005,3000,9.995e+19,0,2500,5.0014e-18,100,9.995e+19,1,17.6,0,17.6,0
0.0010001,0,-0.00033135,0,1.2605e-16,-0.00031557,0,1.1445e+07,0.0086237,1.1445e+07,0,0.00050005,3000,9.995e+19,0,2500,5.0014e-18,100,9.995e+19,1,18.4,0,18.4,0
0.0010001,0,-0.00033135,0,3.2923e-16,-0.00031557,0,1.1421e+07,0.0069343,1.1421e+07,0,0.00050005,3000,9.995e+19,0,2500,5.0015e-18,100,9.995e+19,1,19.2,0,19.2,0
0.0010001,0,-0.00033135,0,-1.2934e-16,-0.00031557,0,1.1397e+07,0.0055648,1.1397e+07,0,0.00050005,3000,9.995e+19,0,2500,5.0015e-18,100,9.995e+19,1,20,0,20,0
0.0010001,0,-0.00033135,0,1.1006e-16,-0.00031557,0,1.1373e+07,0.0044936,1.1373e+07,0,0.00050005,3000,9.995e+19,0,2500,5.0016e-18,100,9.995e+19,1,20.8,0,20.8,0
0.0010001,0,-0.00033135,0,-1.8531e-16,-0.00031557,0,1.1349e+07,0.0036175,1.1349e+07,0,0.00050005,3000,9.995e+19,0,2500,5.0016e-18,100,9.995e+19,1,21.6,0,21.6,0
0.0010001,0,-0.00033135,0,5.2678e-17,-0.00031557,0,1.1325e+07,0.0029113,1.1325e+07,0,0.00050005,3000,9.995e+19,0,2500,5.0016e-18,100,9.995e+19,1,22.4,0,22.4,0
0.0010001,0,-0.00033135,0,-1.8767e-16,-0.00031557,0,1.1301e+07,0.00234,1.1301e+07,0,0.00050006,3000,9.995e+19,0,2500,5.0017e-18,100,9.995e+19,1,23.2,0,23.2,0
0.0010001,0,-0.00033135,0,-2.9396e-16,-0.00031557,0,1.1277e+07,0.0018871,1.1277e+07,0,0.00050006,3000,9.995e+19,0,2500,5.0017e-18,100,9.995e+19,1,24,0,24,0
0.0010001,0,-0.00033135,0,-4.172e-16,-0.00031557,0,1.1253e+07,0.0015193,1.1253e+07,0,0.00050006,3000,9.995e+19,0,2500,5.0018e-18,100,9.995e+19,1,24.8,0,24.8,0
0.0010001,0,-0.00033135,0,-2.7798e-16,-0.00031557,0,1.1229e+07,0.001221,1.1229e+07,0,0.00050006,3000,9.995e+19,0,2500,5.0018e-18,100,9.995e+19,1,25.6,0,25.6,0
0.0010001,0,-0.00033135,0,-8.9837e-17,-0.00031557,0,1.1205e+07,0.00098828,1.1205e+07,0,0.00050006,3000,9.995e+19,0,2500,5.0018e-18,100,9.995e+19,1,26.4,0,26.4,0
0.0010001,0,-0.00033135,0,-1.1147e-16,-0.00031557,0,1.1181e+07,0.00079758,1.1181e+07,0,0.00050006,3000,9.995e+19,0,2500,5.0019e-18,100,9.995e+19,1,27.2,0,27.2,0
0.0010001,0,-0.00033135,0,-9.6422e-17,-0.00031557,0,1.1157e+07,0.00064285,1.1157e+07,0,0.00050006,3000,9.995e+19,0,2500,5.0019e-18,100,9.995e+19,1,28,0,28,0
0.0010001,0,-0.00033135,0,-1.016e-16,-0.00031557,0,1.1133e+07,0.00052263,1.1133e+07,0,0.00050006,3000,9.995e+19,0,2500,5.0019e-18,100,9.995e+19,1,28.8,0,28.8,0
0.0010001,0,-0.00033135,0,-1.8391e-16,-0.00031557,0,1.1109e+07,0.00042608,1.1109e+07,0,0.00050007,3000,9.995e+19,0,2500,5.002e-18,100,9.995e+19,1,29.6,0,29.6,0
0.0010001,0,-0.00033135,0,-1.6133e-16,-0.00031557,0,1.1085e+07,0.00034859,1.1085e+07,0,0.00050007,3000,9.995e+19,0,2500,5.002e-18,100,9.995e+19,1,30.4,0,30.4,0
0.0010001,0,-0.00033135,0,-6.6321e-17,-0.00031557,0,1.1061e+07,0.00028591,1.1061e+07,0,0.00050007,3000,9.995e+19,0,2500,5.002e-18,100,9.995e+19,1,31.2,0,31.2,0
