"Result","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","density","viscosity","thermal_expansivity","melt_density","permeability","melt_viscosity","compaction_viscosity","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.001,0,-0.00016567,0,4.1146e-16,-0.00015779,0,1.1993e+07,-2.6554,1.1993e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,0,0,0,0
0.001,0,-0.00016567,0,1.8668e-16,-0.00015779,0,1.1969e+07,-2.1438,1.1969e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,0.8,0,0.8,0
0.001,0,-0.00016567,0,-9.781e-17,-0.00015779,0,1.1945e+07,-1.7272,1.1945e+07,0,0.001,3000,9.99e+19,0,2500,5e-18,100,9.99e+19,1,1.6,0,1.6,0
0.001,0,-0.00016567,0,-1.8198e-16,-0.00015779,0,1.1921e+07,-1.3886,1.1921e+07,0,0.001,3000,9.99e+19,0,2500,5.0001e-18,100,9.99e+19,1,2.4,0,2.4,0
0.001,0,-0.00016567,0,-4.3733e-17,-0.00015779,0,1.1897e+07,-1.1175,1.1897e+07,0,0.001,3000,9.99e+19,0,2500,5.0001e-18,100,9.99e+19,1,3.2,0,3.2,0
0.001,0,-0.00016567,0,8.6996e-17,-0.00015779,0,1.1873e+07,-0.90178,1.1873e+07,0,0.001,3000,9.99e+19,0,2500,5.0002e-18,100,9.99e+19,1,4,0,4,0
0.001,0,-0.00016567,0,2.2219e-16,-0.00015779,0,1.1849e+07,-0.72624,1.1849e+07,0,0.001,3000,9.99e+19,0,2500,5.0002e-18,100,9.99e+19,1,4.8,0,4.8,0
0.001,0,-0.00016567,0,1.1686e-16,-0.00015779,0,1.1825e+07,-0.5836,1.1825e+07,0,0.001,3000,9.99e+19,0,2500,5.0002e-18,100,9.99e+19,1,5.6,0,5.6,0
0.001,0,-0.00016567,0,-9.4286e-17,-0.00015779,0,1.1801e+07,-0.47124,1.1801e+07,0,0.001,3000,9.99e+19,0,2500,5.0003e-18,100,9.99e+19,1,6.4,0,6.4,0
0.001,0,-0.00016567,0,-1.1004e-16,-0.00015779,0,1.1777e+07,-0.38029,1.1777e+07,0,0.001,3000,9.99e+19,0,2500,5.0003e-18,100,9.99e+19,1,7.2,0,7.2,0
0.001,0,-0.00016567,0,-1.1286e-16,-0.00015779,0,1.1753e+07,-0.30633,1.1753e+07,0,0.001,3000,9.99e+19,0,2500,5.0004e-18,100,9.99e+19,1,8,0,8,0
0.001,0,-0.00016567,0,6.0194e-17,-0.00015779,0,1.1729e+07,-0.24683,1.1729e+07,0,0.001,3000,9.99e+19,0,2500,5.0005e-18,100,9.99e+19,1,8.8,0,8.8,0
0.001,0,-0.00016567,0,8.6996e-18,-0.00015779,0,1.1705e+07,-0.19973,1.1705e+07,0,0.001,3000,9.99e+19,0,2500,5.0005e-18,100,9.99e+19,1,9.6,0,9.6,0
0.001,0,-0.00016567,0,-7.783e-17,-0.00015779,0,1.1681e+07,-0.16139,1.1681e+07,0,0.001,3000,9.99e+19,0,2500,5.0006e-18,100,9.99e+19,1,10.4,0,10.4,0
0.001,0,-0.00016567,0,-8.5825e-17,-0.00015779,0,1.1657e+07,-0.13023,1.1657e+07,0,0.001,3000,9.99e+19,0,2500,5.0006e-18,100,9.99e+19,1,11.2,0,11.2,0
0.001,0,-0.00016567,0,-2.5865e-17,-0.00015779,0,1.1633e+07,-0.10555,1.1633e+07,0,0.001,3000,9.99e+19,0,2500,5.0007e-18,100,9.99e+19,1,12,0,12,0
0.001,0,-0.00016567,0,8.1358e-17,-0.00015779,0,1.1609e+07,-0.085681,1.1609e+07,0,0.001,3000,9.99e+19,0,2500,5.0007e-18,100,9.99e+19,1,12.8,0,12.8,0
0.0010001,0,-0.00016567,0,-3.7153e-17,-0.00015779,0,1.1585e+07,-0.069522,1.1585e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0008e-18,100,9.99e+19,1,13.6,0,13.6,0
0.0010001,0,-0.00016567,0,-1.8623e-16,-0.00015779,0,1.1561e+07,-0.056455,1.1561e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0008e-18,100,9.99e+19,1,14.4,0,14.4,0
0.0010001,0,-0.00016567,0,-2.6336e-16,-0.00015779,0,1.1537e+07,-0.046162,1.1537e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0008e-18,100,9.99e+19,1,15.2,0,15.2,0
0.0010001,0,-0.00016567,0,-7.5246e-17,-0.00015779,0,1.1513e+07,-0.037779,1.1513e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0009e-18,100,9.99e+19,1,16,0,16,0
0.0010001,0,-0.00016567,0,1.8341e-17,-0.00015779,0,1.1489e+07,-0.030961,1.1489e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0009e-18,100,9.99e+19,1,16.8,0,16.8,0
0.0010001,0,-0.00016567,0,1.2533e-16,-0.00015779,0,1.1465e+07,-0.02553,1.1465e+07,0,0.0010001,3000,9.99e+19,0,2500,5.001e-18,100,9.99e+19,1,17.6,0,17.6,0
0.0010001,0,-0.00016567,0,4.4678e-17,-0.00015779,0,1.1441e+07,-0.021182,1.1441e+07,0,0.0010001,3000,9.99e+19,0,2500,5.001e-18,100,9.99e+19,1,18.4,0,18.4,0
0.0010001,0,-0.00016567,0,-1.0017e-16,-0.00015779,0,1.1417e+07,-0.017642,1.1417e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0011e-18,100,9.99e+19,1,19.2,0,19.2,0
0.0010001,0,-0.00016567,0,1.1758e-16,-0.00015779,0,1.1393e+07,-0.01476,1.1393e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0011e-18,100,9.99e+19,1,20,0,20,0
0.0010001,0,-0.00016567,0,2.027e-16,-0.00015779,0,1.1369e+07,-0.012498,1.1369e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0012e-18,100,9.99e+19,1,20.8,0,20.8,0
0.0010001,0,-0.00016567,0,-2.3986e-17,-0.00015779,0,1.1345e+07,-0.010653,1.1345e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0012e-18,100,9.99e+19,1,21.6,0,21.6,0
0.0010001,0,-0.00016567,0,-2.2316e-16,-0.00015779,0,1.1321e+07,-0.0091516,1.1321e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0012e-18,100,9.99e+19,1,22.4,0,22.4,0
0.0010001,0,-0.00016567,0,-2.0811e-16,-0.00015779,0,1.1297e+07,-0.0079417,1.1297e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0013e-18,100,9.99e+19,1,23.2,0,23.2,0
0.0010001,0,-0.00016567,0,-1.0465e-16,-0.00015779,0,1.1273e+07,-0.0069719,1.1273e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0013e-18,100,9.99e+19,1,24,0,24,0
0.0010001,0,-0.00016567,0,-1.6414e-16,-0.00015779,0,1.1249e+07,-0.0061802,1.1249e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0013e-18,100,9.99e+19,1,24.8,0,24.8,0
0.0010001,0,-0.00016567,0,-1.7355e-16,-0.00015779,0,1.1225e+07,-0.0055312,1.1225e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0014e-18,100,9.99e+19,1,25.6,0,25.6,0
0.0010001,0,-0.00016567,0,-2.1541e-16,-0.00015779,0,1.1202e+07,-0.0050124,1.1202e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0014e-18,100,9.99e+19,1,26.4,0,26.4,0
0.0010001,0,-0.00016567,0,-4.8914e-17,-0.00015779,0,1.1178e+07,-0.0045869,1.1178e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0015e-18,100,9.99e+19,1,27.2,0,27.2,0
0.0010001,0,-0.00016567,0,1.411e-17,-0.00015779,0,1.1154e+07,-0.0042331,1.1154e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0015e-18,100,9.99e+19,1,28,0,28,0
0.0010001,0,-0.00016567,0,-1.6273e-16,-0.00015779,0,1.113e+07,-0.0039445,1.113e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0015e-18,100,9.99e+19,1,28.8,0,28.8,0
0.0010001,0,-0.00016567,0,-7.1491e-17,-0.00015779,0,1.1106e+07,-0.0037037,1.1106e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0016e-18,100,9.99e+19,1,29.6,0,29.6,0
0.0010001,0,-0.00016567,0,-1.0912e-16,-0.00015779,0,1.1082e+07,-0.0035034,1.1082e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0016e-18,100,9.99e+19,1,30.4,0,30.4,0
0.0010001,0,-0.00016567,0,2.0036e-16,-0.00015779,0,1.1058e+07,-0.003327,1.1058e+07,0,0.0010001,3000,9.99e+19,0,2500,5.0016e-18,100,9.99e+19,1,31.2,0,31.2,0
