"Result","velocity:0","velocity:1","velocity:2","u_f:0","u_f:1","u_f:2","p_f","p_c","p","T","porosity","density","viscosity","thermal_expansivity","melt_density","permeability","melt_viscosity","compaction_viscosity","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.001,0,-8.2837e-05,0,5.2901e-17,-7.8895e-05,0,1.1987e+07,-10.481,1.1987e+07,0,0.002,3000,9.98e+19,0,2500,5e-18,100,9.98e+19,1,0,0,0,0
0.00099999,0,-8.2837e-05,0,2.0455e-17,-7.8896e-05,0,1.1963e+07,-8.4572,1.1963e+07,0,0.002,3000,9.98e+19,0,2500,4.9999e-18,100,9.98e+19,1,0.8,0,0.8,0
0.00099998,0,-8.2837e-05,0,2.3746e-17,-7.8897e-05,0,1.1939e+07,-6.8102,1.1939e+07,0,0.002,3000,9.98e+19,0,2500,4.9998e-18,100,9.98e+19,1,1.6,0,1.6,0
0.00099998,0,-8.2837e-05,0,3.4443e-17,-7.8898e-05,0,1.1915e+07,-5.4714,1.1915e+07,0,0.002,3000,9.98e+19,0,2500,4.9997e-18,100,9.98e+19,1,2.4,0,2.4,0
0.00099998,0,-8.2837e-05,0,2.692e-17,-7.8898e-05,0,1.1891e+07,-4.4001,1.1891e+07,0,0.002,3000,9.98e+19,0,2500,4.9996e-18,100,9.98e+19,1,3.2,0,3.2,0
0.00099997,0,-8.2837e-05,0,1.7633e-18,-7.8899e-05,0,1.1867e+07,-3.5474,1.1867e+07,0,0.0019999,3000,9.98e+19,0,2500,4.9996e-18,100,9.98e+19,1,4,0,4,0
0.00099997,0,-8.2837e-05,0,1.1755e-18,-7.8899e-05,0,1.1843e+07,-2.8538,1.1843e+07,0,0.0019999,3000,9.98e+19,0,2500,4.9996e-18,100,9.98e+19,1,4.8,0,4.8,0
0.00099997,0,-8.2837e-05,0,-1.105e-17,-7.8899e-05,0,1.1819e+07,-2.2902,1.1819e+07,0,0.0019999,3000,9.98e+19,0,2500,4.9996e-18,100,9.98e+19,1,5.6,0,5.6,0
0.00099998,0,-8.2837e-05,0,1.4341e-17,-7.89e-05,0,1.1795e+07,-1.8464,1.1795e+07,0,0.002,3000,9.98e+19,0,2500,4.9996e-18,100,9.98e+19,1,6.4,0,6.4,0
0.00099998,0,-8.2837e-05,0,3.0446e-17,-7.89e-05,0,1.1771e+07,-1.4872,1.1771e+07,0,0.002,3000,9.98e+19,0,2500,4.9996e-18,100,9.98e+19,1,7.2,0,7.2,0
0.00099998,0,-8.2837e-05,0,-5.2899e-18,-7.89e-05,0,1.1747e+07,-1.1951,1.1747e+07,0,0.002,3000,9.98e+19,0,2500,4.9997e-18,100,9.98e+19,1,8,0,8,0
0.00099998,0,-8.2837e-05,0,-1.0345e-17,-7.89e-05,0,1.1723e+07,-0.96026,1.1723e+07,0,0.002,3000,9.98e+19,0,2500,4.9997e-18,100,9.98e+19,1,8.8,0,8.8,0
0.00099998,0,-8.2837e-05,0,2.7037e-18,-7.89e-05,0,1.1699e+07,-0.77434,1.1699e+07,0,0.002,3000,9.98e+19,0,2500,4.9997e-18,100,9.98e+19,1,9.6,0,9.6,0
0.00099999,0,-8.2837e-05,0,1.0227e-17,-7.89e-05,0,1.1675e+07,-0.62305,1.1675e+07,0,0.002,3000,9.98e+19,0,2500,4.9998e-18,100,9.98e+19,1,10.4,0,10.4,0
0.00099999,0,-8.2837e-05,0,2.8449e-17,-7.89e-05,0,1.1651e+07,-0.50013,1.1651e+07,0,0.002,3000,9.98e+19,0,2500,4.9998e-18,100,9.98e+19,1,11.2,0,11.2,0
0.00099999,0,-8.2837e-05,0,1.7046e-17,-7.89e-05,0,1.1627e+07,-0.40279,1.1627e+07,0,0.002,3000,9.98e+19,0,2500,4.9999e-18,100,9.98e+19,1,12,0,12,0
0.00099999,0,-8.2837e-05,0,3.3504e-17,-7.89e-05,0,1.1603e+07,-0.32447,1.1603e+07,0,0.002,3000,9.98e+19,0,2500,4.9999e-18,100,9.98e+19,1,12.8,0,12.8,0
0.001,0,-8.2837e-05,0,3.2211e-17,-7.89e-05,0,1.1579e+07,-0.26077,1.1579e+07,0,0.002,3000,9.98e+19,0,2500,5e-18,100,9.98e+19,1,13.6,0,13.6,0
0.001,0,-8.2837e-05,0,2.2101e-17,-7.89e-05,0,1.1555e+07,-0.20929,1.1555e+07,0,0.002,3000,9.98e+19,0,2500,5e-18,100,9.98e+19,1,14.4,0,14.4,0
0.001,0,-8.2837e-05,0,-1.4577e-17,-7.89e-05,0,1.1531e+07,-0.16875,1.1531e+07,0,0.002,3000,9.98e+19,0,2500,5e-18,100,9.98e+19,1,15.2,0,15.2,0
0.001,0,-8.2837e-05,0,-2.2336e-17,-7.89e-05,0,1.1507e+07,-0.13576,1.1507e+07,0,0.002,3000,9.98e+19,0,2500,5.0001e-18,100,9.98e+19,1,16,0,16,0
0.001,0,-8.2837e-05,0,4.9375e-18,-7.89e-05,0,1.1483e+07,-0.10894,1.1483e+07,0,0.002,3000,9.98e+19,0,2500,5.0001e-18,100,9.98e+19,1,16.8,0,16.8,0
0.001,0,-8.2837e-05,0,-2.1161e-18,-7.89e-05,0,1.1459e+07,-0.0876,1.1459e+07,0,0.002,3000,9.98e+19,0,2500,5.0002e-18,100,9.98e+19,1,17.6,0,17.6,0
0.001,0,-8.2837e-05,0,9.8752e-18,-7.89e-05,0,1.1435e+07,-0.070517,1.1435e+07,0,0.002,3000,9.98e+19,0,2500,5.0002e-18,100,9.98e+19,1,18.4,0,18.4,0
0.001,0,-8.2837e-05,0,1.2697e-17,-7.89e-05,0,1.1411e+07,-0.05662,1.1411e+07,0,0.002,3000,9.98e+19,0,2500,5.0003e-18,100,9.98e+19,1,19.2,0,19.2,0
0.001,0,-8.2837e-05,0,5.8782e-18,-7.89e-05,0,1.1387e+07,-0.045331,1.1387e+07,0,0.002,3000,9.98e+19,0,2500,5.0003e-18,100,9.98e+19,1,20,0,20,0
0.001,0,-8.2837e-05,0,-4.9377e-18,-7.89e-05,0,1.1363e+07,-0.036485,1.1363e+07,0,0.002,3000,9.98e+19,0,2500,5.0003e-18,100,9.98e+19,1,20.8,0,20.8,0
